latitude,longitude,temperature,ndvi,recommendation
17.500439047606275,78.38085193677256,40.18840160000002,0.0,Increase green cover + cool roofs
17.500442773788986,78.38113424104493,40.10636912000001,0.0,Increase green cover + cool roofs
17.50044649957109,78.38141654538703,39.94914019999999,0.0,Plant trees and improve vegetation
17.500450224952598,78.38169884979884,39.66202652000004,0.0,Plant trees and improve vegetation
17.500453949933494,78.38198115428037,39.262118180000016,0.0,Plant trees and improve vegetation
17.50045767451378,78.38226345883162,39.166413620000014,0.0,Plant trees and improve vegetation
17.50046139869346,78.38254576345255,38.769923300000016,0.0,Plant trees and improve vegetation
17.500465122472537,78.38282806814318,38.45888348000005,0.0,Plant trees and improve vegetation
17.500468845851,78.38311037290352,38.20253198,0.0,Plant trees and improve vegetation
17.50047256882886,78.38339267773353,38.02137692000002,0.0,Plant trees and improve vegetation
17.500476291406105,78.3836749826332,37.853893940000034,0.0,Plant trees and improve vegetation
17.500480013582745,78.38395728760251,37.67615690000002,0.0,Plant trees and improve vegetation
17.50048373535877,78.3842395926415,37.46423966000003,0.0,Plant trees and improve vegetation
17.500487456734195,78.38452189775015,37.20105211999999,0.0,Plant trees and improve vegetation
17.500491177708998,78.38480420292842,36.96862676000001,0.0,Plant trees and improve vegetation
17.5004948982832,78.38508650817634,36.97204478000003,0.0,Plant trees and improve vegetation
17.500498618456785,78.38536881349387,37.0267331,0.0,Plant trees and improve vegetation
17.500502338229754,78.38565111888101,37.21472419999998,0.0,Plant trees and improve vegetation
17.500506057602124,78.38593342433778,37.43689549999999,0.0,Plant trees and improve vegetation
17.500509776573868,78.38621572986415,37.412969360000034,0.0,Plant trees and improve vegetation
17.500513495145004,78.38649803546012,37.573616300000026,0.0,Plant trees and improve vegetation
17.500517213315526,78.38678034112567,37.67273888,0.0,Plant trees and improve vegetation
17.500520931085433,78.3870626468608,38.359760900000026,0.0,Plant trees and improve vegetation
17.50052464845473,78.3873449526655,38.246966240000006,0.0,Plant trees and improve vegetation
17.500528365423406,78.38762725853978,38.13758960000001,0.0,Plant trees and improve vegetation
17.50053208199147,78.3879095644836,38.11366346,0.0,Plant trees and improve vegetation
17.500535798158918,78.388191870497,38.24354821999998,0.0,Plant trees and improve vegetation
17.500539513925744,78.3884741765799,38.48622764000004,0.0,Plant trees and improve vegetation
17.500543229291964,78.38875648273238,38.622948440000016,0.0,Plant trees and improve vegetation
17.500546944257557,78.38903878895435,38.035049000000015,0.0,Plant trees and improve vegetation
17.500550658822533,78.38932109524586,37.81629572000003,0.0,Plant trees and improve vegetation
17.500554372986898,78.38960340160689,37.51892798000006,0.0,Plant trees and improve vegetation
17.500558086750637,78.38988570803743,37.26257648000001,0.0,Plant trees and improve vegetation
17.500561800113758,78.39016801453745,36.83190596000003,0.0,Plant trees and improve vegetation
